"","1on1","Cut","Dime in","field_goal","foul","Hdff_E_Re-Pick","Hdof F Post","Hdof_Scr.Rc","Hdof_Scrner","Hdof.E.Scr","Hdof/Post","Hdoff","Hdoff.E.Re-Pick","None","Pick","Pick_Screener","Pk_Hdof.Rc","Pk_Scr.Rc","Pk.E.Scr","Post","Rc.Hdof.E.Mk.One","Rc.Pk.E.Mk.Hdof","Rc.Scr.E.Mk.Hdof","Rc.Scr.E.MkOne","Rc.Scr.E.Pk","Re-Pick","Re-Screen","Scr_Hdof.Mk","Scr_Pker","Scr_Scrner","Scr.E.Hdof","Scr.E.Pk","Scr.E.Pk_SamePl","Screen","Seq.Scr.Mk","Spotup","Stg.Pk","Stg.Scr","turnover"
"1on1",2,3,5,71,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,6
"Cut",2,0,0,14,2,0,0,0,0,0,0,3,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8
"Dime in",1,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
"Hdff_E_Re-Pick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof F Post",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof_Scr.Rc",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hdof_Scrner",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof.E.Scr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof/Post",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdoff",1,0,0,6,4,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,3,0,0,1
"Hdoff.E.Re-Pick",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"None",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Pick",39,17,9,56,25,0,0,0,0,0,0,1,0,0,31,0,0,0,1,23,0,0,0,0,0,12,0,0,1,0,0,0,0,16,0,25,1,0,17
"Pick_Screener",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pk_Hdof.Rc",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pk_Scr.Rc",3,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3
"Pk.E.Scr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Post",1,3,5,53,13,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,1,16
"Rc.Hdof.E.Mk.One",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rc.Pk.E.Mk.Hdof",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rc.Scr.E.Mk.Hdof",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rc.Scr.E.MkOne",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
"Rc.Scr.E.Pk",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Re-Pick",3,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Re-Screen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Scr_Hdof.Mk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Scr_Pker",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Scr_Scrner",2,0,0,3,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"Scr.E.Hdof",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scr.E.Pk",1,1,0,4,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0
"Scr.E.Pk_SamePl",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Screen",22,8,1,20,5,0,0,3,3,0,0,9,0,3,32,0,1,19,0,19,0,0,0,7,6,0,3,0,1,14,0,19,0,38,2,8,0,38,9
"Seq.Scr.Mk",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spotup",2,0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,7
"Stg.Pk",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stg.Scr",6,1,1,2,1,0,0,1,0,0,0,1,0,0,4,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,1,7,0,7,0,2,1
